,time,open,high,low,close,volume,trades,start
0,1628559000000.0,3114.17,3131.12,3112.84,3123.1,4800.54697,8066.0,2021-08-10 01:30:00
1,1628559900000.0,3123.1,3140.0,3114.0,3131.16,6287.04156,10125.0,2021-08-10 01:45:00
2,1628560800000.0,3131.61,3132.16,3115.68,3126.68,4883.4233,7985.0,2021-08-10 02:00:00
3,1628561700000.0,3126.69,3135.71,3120.0,3135.28,4196.58429,7210.0,2021-08-10 02:15:00
4,1628562600000.0,3135.29,3135.71,3123.69,3132.89,2851.2011,5624.0,2021-08-10 02:30:00
5,1628563500000.0,3132.9,3144.73,3127.17,3142.02,4348.91632,8124.0,2021-08-10 02:45:00
6,1628564400000.0,3142.03,3146.8,3130.06,3130.63,3627.93537,6953.0,2021-08-10 03:00:00
7,1628565300000.0,3130.61,3135.03,3115.58,3118.05,5655.22866,8425.0,2021-08-10 03:15:00
8,1628566200000.0,3118.05,3125.93,3107.11,3123.59,4626.80295,8298.0,2021-08-10 03:30:00
9,1628567100000.0,3123.58,3123.58,3105.94,3115.39,2755.44716,5796.0,2021-08-10 03:45:00
10,1628568000000.0,3115.39,3120.4,3100.58,3120.39,6366.18573,8209.0,2021-08-10 04:00:00
11,1628568900000.0,3120.39,3128.93,3111.05,3124.0,3663.63018,6550.0,2021-08-10 04:15:00
12,1628569800000.0,3124.01,3125.4,3105.34,3105.79,3709.21009,6523.0,2021-08-10 04:30:00
13,1628570700000.0,3105.78,3116.47,3100.0,3100.0,8795.99374,8255.0,2021-08-10 04:45:00
14,1628571600000.0,3100.0,3122.76,3089.42,3117.98,8459.64642,27196.0,2021-08-10 05:00:00
15,1628572500000.0,3118.01,3137.0,3117.32,3126.02,8407.10156,24148.0,2021-08-10 05:15:00
16,1628573400000.0,3125.85,3134.63,3113.44,3118.09,4429.80976,21390.0,2021-08-10 05:30:00
17,1628574300000.0,3118.09,3124.1,3108.32,3112.77,4301.00892,20836.0,2021-08-10 05:45:00
18,1628575200000.0,3112.63,3112.63,3100.82,3108.94,4700.47496,23363.0,2021-08-10 06:00:00
