,time,open,high,low,close,volume,trades,start
0,1628006400000.0,2496.62,2510.96,2451.14,2474.99,100306.20666,213950.0,2021-08-03 16:00:00
1,1628020800000.0,2474.69,2530.19,2452.34,2509.04,87974.42282,162473.0,2021-08-03 20:00:00
2,1628035200000.0,2508.51,2538.24,2482.66,2484.82,90177.34816,242110.0,2021-08-04 00:00:00
3,1628049600000.0,2484.82,2518.0,2465.0,2478.71,84578.07066,199329.0,2021-08-04 04:00:00
4,1628064000000.0,2478.82,2512.52,2457.68,2505.8,95347.57717,259950.0,2021-08-04 08:00:00
5,1628078400000.0,2505.81,2697.12,2504.76,2672.58,322663.39208,488189.0,2021-08-04 12:00:00
6,1628092800000.0,2672.57,2726.48,2665.0,2694.91,216134.20809,394051.0,2021-08-04 16:00:00
7,1628107200000.0,2694.9,2772.71,2688.66,2724.78,145690.15744,255673.0,2021-08-04 20:00:00
8,1628121600000.0,2724.55,2742.0,2660.84,2712.01,145832.39749,353380.0,2021-08-05 00:00:00
9,1628136000000.0,2712.01,2721.34,2667.28,2681.7,96908.3731,162929.0,2021-08-05 04:00:00
10,1628150400000.0,2681.81,2692.06,2574.57,2622.22,226379.19575,349789.0,2021-08-05 08:00:00
11,1628164800000.0,2622.26,2820.0,2529.91,2755.08,492343.68631,941287.0,2021-08-05 12:00:00
12,1628179200000.0,2755.19,2830.0,2746.55,2796.73,225265.65508,505945.0,2021-08-05 16:00:00
13,1628193600000.0,2796.73,2843.98,2786.39,2826.99,120990.89881,376722.0,2021-08-05 20:00:00
14,1628208000000.0,2827.01,2844.44,2751.42,2760.87,132956.11195,325223.0,2021-08-06 00:00:00
15,1628222400000.0,2760.87,2813.5,2750.0,2767.67,95766.55677,198942.0,2021-08-06 04:00:00
16,1628236800000.0,2767.65,2782.36,2733.33,2736.26,92147.68201,245743.0,2021-08-06 08:00:00
17,1628251200000.0,2736.27,2848.0,2720.06,2838.27,154238.16492,430427.0,2021-08-06 12:00:00
18,1628265600000.0,2838.27,2946.75,2836.99,2928.67,258623.65072,422631.0,2021-08-06 16:00:00
19,1628280000000.0,2929.15,2939.43,2870.94,2891.58,91667.32,250371.0,2021-08-06 20:00:00
20,1628294400000.0,2891.54,2938.99,2865.5,2935.12,107849.55845,258411.0,2021-08-07 00:00:00
21,1628308800000.0,2935.12,2982.95,2927.0,2955.76,140648.28575,269866.0,2021-08-07 04:00:00
