,time,open,high,low,close,volume,trades,start
0,1627990200000.0,1.3011,1.3028,1.294,1.2942,2111464.25,4886.0,2021-08-03 11:30:00
1,1627992000000.0,1.2942,1.3037,1.28,1.3001,8293609.51,16488.0,2021-08-03 12:00:00
2,1627993800000.0,1.3,1.3073,1.2947,1.3071,3646129.55,7425.0,2021-08-03 12:30:00
3,1627995600000.0,1.307,1.3311,1.3064,1.3251,9290045.05,23512.0,2021-08-03 13:00:00
4,1627997400000.0,1.325,1.366,1.325,1.3553,20013033.33,57473.0,2021-08-03 13:30:00
5,1627999200000.0,1.3553,1.3675,1.3473,1.3551,12893209.31,23043.0,2021-08-03 14:00:00
6,1628001000000.0,1.3552,1.363,1.335,1.3413,10578530.96,20813.0,2021-08-03 14:30:00
7,1628002800000.0,1.3414,1.3467,1.3283,1.335,8340895.77,16211.0,2021-08-03 15:00:00
8,1628004600000.0,1.335,1.3436,1.3278,1.3385,6280039.38,10871.0,2021-08-03 15:30:00
9,1628006400000.0,1.3385,1.3481,1.3349,1.3404,7470655.47,31956.0,2021-08-03 16:00:00
10,1628008200000.0,1.3404,1.3619,1.3397,1.3595,7636138.97,37705.0,2021-08-03 16:30:00
11,1628010000000.0,1.3594,1.3753,1.3589,1.3638,12408290.53,43677.0,2021-08-03 17:00:00
12,1628011800000.0,1.3638,1.3706,1.3502,1.351,5455883.88,25362.0,2021-08-03 17:30:00
13,1628013600000.0,1.351,1.3621,1.3484,1.3581,7200278.49,38183.0,2021-08-03 18:00:00
14,1628015400000.0,1.3581,1.3789,1.354,1.3774,7699523.94,46011.0,2021-08-03 18:30:00
15,1628017200000.0,1.3773,1.379,1.3656,1.3727,4454019.01,24937.0,2021-08-03 19:00:00
16,1628019000000.0,1.3726,1.3769,1.3617,1.3664,3885299.1,24645.0,2021-08-03 19:30:00
17,1628020800000.0,1.3664,1.3721,1.3587,1.3688,5035726.3,30443.0,2021-08-03 20:00:00
18,1628022600000.0,1.3689,1.3749,1.3606,1.3732,4331651.64,29465.0,2021-08-03 20:30:00
19,1628024400000.0,1.3731,1.3757,1.3651,1.3692,3314156.85,13695.0,2021-08-03 21:00:00
20,1628026200000.0,1.3692,1.3725,1.3588,1.3588,3639444.72,13116.0,2021-08-03 21:30:00
21,1628028000000.0,1.3588,1.381,1.3588,1.3808,6653576.5,66996.0,2021-08-03 22:00:00
22,1628029800000.0,1.3808,1.3827,1.3671,1.3788,6120404.08,65613.0,2021-08-03 22:30:00
23,1628031600000.0,1.3788,1.3827,1.3679,1.3682,4157363.98,10599.0,2021-08-03 23:00:00
24,1628033400000.0,1.3682,1.3723,1.3621,1.3696,2715643.87,9641.0,2021-08-03 23:30:00
25,1628035200000.0,1.3697,1.3747,1.3387,1.3449,9422838.85,19934.0,2021-08-04 00:00:00
26,1628037000000.0,1.3448,1.3614,1.3388,1.3578,3748161.21,8883.0,2021-08-04 00:30:00
27,1628038800000.0,1.3579,1.3604,1.3516,1.3588,2436516.03,12673.0,2021-08-04 01:00:00
28,1628040600000.0,1.3588,1.3626,1.3546,1.3567,2252746.51,12104.0,2021-08-04 01:30:00
29,1628042400000.0,1.3566,1.3608,1.3486,1.352,2989251.28,27579.0,2021-08-04 02:00:00
30,1628044200000.0,1.3519,1.352,1.3439,1.3459,2354943.16,27161.0,2021-08-04 02:30:00
31,1628046000000.0,1.3459,1.3465,1.3402,1.3404,2706211.8,6054.0,2021-08-04 03:00:00
32,1628047800000.0,1.3404,1.3504,1.3401,1.3409,2456326.54,6119.0,2021-08-04 03:30:00
33,1628049600000.0,1.3408,1.3431,1.3321,1.3342,2944522.06,7945.0,2021-08-04 04:00:00
34,1628051400000.0,1.3341,1.34,1.3307,1.3379,2737952.0,6859.0,2021-08-04 04:30:00
35,1628053200000.0,1.3378,1.3515,1.3369,1.3487,2787402.67,8113.0,2021-08-04 05:00:00
36,1628055000000.0,1.3487,1.3507,1.338,1.3389,2597230.03,6095.0,2021-08-04 05:30:00
37,1628056800000.0,1.3389,1.34,1.3344,1.3396,2624826.07,5347.0,2021-08-04 06:00:00
38,1628058600000.0,1.3395,1.3454,1.3343,1.336,2109736.05,4862.0,2021-08-04 06:30:00
39,1628060400000.0,1.3361,1.3386,1.3283,1.331,2159511.03,5663.0,2021-08-04 07:00:00
40,1628062200000.0,1.3311,1.3348,1.3261,1.3345,2709935.31,7072.0,2021-08-04 07:30:00
41,1628064000000.0,1.3345,1.3392,1.329,1.3301,2636917.62,6108.0,2021-08-04 08:00:00
42,1628065800000.0,1.3301,1.3327,1.323,1.33,4168459.64,8106.0,2021-08-04 08:30:00
43,1628067600000.0,1.33,1.3314,1.3247,1.3289,2258350.64,33085.0,2021-08-04 09:00:00
44,1628069400000.0,1.3289,1.3327,1.3264,1.3314,2311248.62,33232.0,2021-08-04 09:30:00
45,1628071200000.0,1.3315,1.3362,1.3245,1.3359,2502676.91,33153.0,2021-08-04 10:00:00
46,1628073000000.0,1.3358,1.3424,1.3321,1.3387,3295259.79,34590.0,2021-08-04 10:30:00
47,1628074800000.0,1.3388,1.3534,1.3342,1.3441,6389914.98,45757.0,2021-08-04 11:00:00
48,1628076600000.0,1.344,1.3468,1.341,1.344,3099655.18,40249.0,2021-08-04 11:30:00
49,1628078400000.0,1.344,1.3524,1.3435,1.3514,4554767.66,31494.0,2021-08-04 12:00:00
