,time,open,high,low,close,volume,trades,start
0,1654455600000.0,29996.31,30100.0,29956.07,30049.86,744.61866,21468.0,2022-06-05 19:00:00
1,1654459200000.0,30049.85,30127.47,29945.84,29945.84,793.84855,26690.0,2022-06-05 20:00:00
2,1654462800000.0,29945.85,29996.75,29815.75,29965.23,1006.36058,29659.0,2022-06-05 21:00:00
3,1654466400000.0,29965.23,30070.83,29875.01,30022.67,1946.38215,36742.0,2022-06-05 22:00:00
4,1654470000000.0,30022.67,30050.92,29894.89,29919.21,1215.85126,27789.0,2022-06-05 23:00:00
5,1654473600000.0,29919.2,30396.99,29890.23,30301.7,2491.61974,48868.0,2022-06-06 00:00:00
6,1654477200000.0,30301.69,30924.56,30301.69,30844.07,5378.11621,75078.0,2022-06-06 01:00:00
7,1654480800000.0,30844.06,31145.32,30844.06,30926.11,4177.22499,60386.0,2022-06-06 02:00:00
8,1654484400000.0,30926.12,31276.87,30926.11,31251.0,6152.95419,59622.0,2022-06-06 03:00:00
9,1654488000000.0,31250.99,31357.0,31148.43,31222.91,2376.7092,42368.0,2022-06-06 04:00:00
10,1654491600000.0,31222.91,31283.34,31153.6,31169.05,1937.11907,38040.0,2022-06-06 05:00:00
11,1654495200000.0,31169.05,31434.75,31160.42,31274.23,2619.20575,41347.0,2022-06-06 06:00:00
12,1654498800000.0,31274.23,31393.15,31196.74,31292.77,2240.20227,40091.0,2022-06-06 07:00:00
13,1654502400000.0,31292.76,31483.28,31281.0,31469.28,2697.09011,45064.0,2022-06-06 08:00:00
14,1654506000000.0,31469.27,31550.0,31380.0,31475.14,2231.52074,40202.0,2022-06-06 09:00:00
15,1654509600000.0,31475.13,31535.9,31390.0,31483.19,1653.15499,33187.0,2022-06-06 10:00:00
16,1654513200000.0,31483.19,31599.37,31338.37,31396.71,2651.56181,45247.0,2022-06-06 11:00:00
17,1654516800000.0,31396.72,31479.57,31346.95,31408.96,1933.57207,37186.0,2022-06-06 12:00:00
18,1654520400000.0,31408.97,31527.9,31256.0,31442.96,4312.83641,59774.0,2022-06-06 13:00:00
19,1654524000000.0,31442.96,31765.64,31421.73,31506.69,4918.62416,74463.0,2022-06-06 14:00:00
20,1654527600000.0,31506.69,31559.41,31162.55,31541.42,5502.63391,78736.0,2022-06-06 15:00:00
21,1654531200000.0,31541.41,31555.75,31223.78,31310.95,3354.61617,57926.0,2022-06-06 16:00:00
22,1654534800000.0,31310.95,31372.99,31000.01,31346.12,3330.05141,52568.0,2022-06-06 17:00:00
23,1654538400000.0,31346.12,31437.6,31230.24,31349.5,2019.47844,40419.0,2022-06-06 18:00:00
24,1654542000000.0,31349.5,31483.96,31244.99,31470.72,1765.41874,36763.0,2022-06-06 19:00:00
25,1654545600000.0,31470.72,31542.66,31272.39,31462.49,1816.14991,38797.0,2022-06-06 20:00:00
26,1654549200000.0,31462.49,31599.85,31410.23,31488.86,1300.12136,33946.0,2022-06-06 21:00:00
27,1654552800000.0,31488.86,31543.4,31381.58,31395.55,964.87495,22596.0,2022-06-06 22:00:00
28,1654556400000.0,31395.55,31431.14,31317.61,31373.1,1012.06796,22071.0,2022-06-06 23:00:00
29,1654560000000.0,31373.1,31381.03,30131.01,30197.77,10182.07375,139545.0,2022-06-07 00:00:00
30,1654563600000.0,30197.77,30257.14,29295.18,29568.47,11463.15517,136202.0,2022-06-07 01:00:00
31,1654567200000.0,29568.47,29568.48,29218.96,29402.08,6359.73876,95378.0,2022-06-07 02:00:00
32,1654570800000.0,29402.09,29668.1,29340.0,29563.62,6120.68755,75923.0,2022-06-07 03:00:00
33,1654574400000.0,29563.61,29608.0,29455.4,29522.42,3289.71517,45491.0,2022-06-07 04:00:00
