,time,open,high,low,close,volume,trades,start
41,1628060400000.0,17.396,17.459,17.177,17.304,629446.128,13844.0,2021-08-04 07:00:00
42,1628064000000.0,17.307,17.365,17.094,17.268,546956.945,14570.0,2021-08-04 08:00:00
43,1628067600000.0,17.266,17.34,17.207,17.286,219043.758,13217.0,2021-08-04 09:00:00
44,1628071200000.0,17.281,17.471,17.2,17.443,340951.018,9344.0,2021-08-04 10:00:00
45,1628074800000.0,17.443,17.599,17.422,17.498,421351.919,12484.0,2021-08-04 11:00:00
46,1628078400000.0,17.498,18.465,17.494,18.38,1646555.573,53720.0,2021-08-04 12:00:00
47,1628082000000.0,18.38,18.649,18.1,18.455,1531696.937,52451.0,2021-08-04 13:00:00
48,1628085600000.0,18.459,18.594,18.313,18.576,680722.992,25454.0,2021-08-04 14:00:00
49,1628089200000.0,18.578,18.878,18.57,18.809,1142433.494,42757.0,2021-08-04 15:00:00
50,1628092800000.0,18.809,19.311,18.751,19.311,1118887.638,41718.0,2021-08-04 16:00:00
51,1628096400000.0,19.31,19.517,18.963,19.302,1623244.369,62979.0,2021-08-04 17:00:00
52,1628100000000.0,19.306,19.584,19.126,19.192,867554.605,36632.0,2021-08-04 18:00:00
53,1628103600000.0,19.188,19.312,18.996,19.149,571846.456,20725.0,2021-08-04 19:00:00
54,1628107200000.0,19.149,19.38,19.086,19.294,442294.032,49328.0,2021-08-04 20:00:00
55,1628110800000.0,19.292,19.338,19.085,19.136,405679.946,41025.0,2021-08-04 21:00:00
56,1628114400000.0,19.136,19.267,18.926,19.088,924417.764,95606.0,2021-08-04 22:00:00
57,1628118000000.0,19.088,19.332,18.935,19.15,543531.681,63054.0,2021-08-04 23:00:00
58,1628121600000.0,19.146,19.359,19.01,19.019,561571.894,16279.0,2021-08-05 00:00:00
59,1628125200000.0,19.019,19.076,18.692,18.994,947149.518,35383.0,2021-08-05 01:00:00
60,1628128800000.0,18.994,19.256,18.906,19.161,673129.922,58469.0,2021-08-05 02:00:00
61,1628132400000.0,19.159,19.297,19.134,19.187,438739.929,39491.0,2021-08-05 03:00:00
62,1628136000000.0,19.189,19.458,19.144,19.201,837108.787,29806.0,2021-08-05 04:00:00
63,1628139600000.0,19.202,19.295,19.078,19.118,383908.472,55722.0,2021-08-05 05:00:00
64,1628143200000.0,19.118,19.118,18.831,19.04,601637.021,22304.0,2021-08-05 06:00:00
65,1628146800000.0,19.04,19.056,18.728,18.878,516002.218,18583.0,2021-08-05 07:00:00
66,1628150400000.0,18.877,18.995,18.575,18.628,588217.759,22028.0,2021-08-05 08:00:00
67,1628154000000.0,18.625,18.695,18.132,18.317,1299719.373,43753.0,2021-08-05 09:00:00
68,1628157600000.0,18.317,18.487,18.251,18.428,624663.305,50827.0,2021-08-05 10:00:00
69,1628161200000.0,18.428,18.677,18.3,18.33,744134.271,75864.0,2021-08-05 11:00:00
70,1628164800000.0,18.326,18.508,17.861,18.397,1329547.467,42881.0,2021-08-05 12:00:00
71,1628168400000.0,18.395,18.452,18.147,18.417,908900.231,72027.0,2021-08-05 13:00:00
72,1628172000000.0,18.418,19.168,18.252,19.082,1815801.812,81660.0,2021-08-05 14:00:00
73,1628175600000.0,19.075,19.232,18.82,18.93,1366498.336,72674.0,2021-08-05 15:00:00
74,1628179200000.0,18.924,19.153,18.828,19.039,624420.056,42327.0,2021-08-05 16:00:00
75,1628182800000.0,19.043,19.322,18.937,19.3,865523.767,31234.0,2021-08-05 17:00:00
