,time,open,high,low,close,volume,trades,start
22,1628472600000.0,18.998,19.26,18.909,19.163,205741.685,6295.0,2021-08-09 01:30:00
23,1628473500000.0,19.163,19.256,19.075,19.12,86185.674,2807.0,2021-08-09 01:45:00
24,1628474400000.0,19.122,19.191,19.023,19.157,92251.57,2766.0,2021-08-09 02:00:00
25,1628475300000.0,19.162,19.238,19.074,19.164,65397.001,2008.0,2021-08-09 02:15:00
26,1628476200000.0,19.163,19.305,19.11,19.304,71391.867,2551.0,2021-08-09 02:30:00
27,1628477100000.0,19.305,19.412,19.282,19.368,101216.985,3943.0,2021-08-09 02:45:00
28,1628478000000.0,19.37,19.37,19.188,19.188,69775.341,2128.0,2021-08-09 03:00:00
29,1628478900000.0,19.187,19.317,19.187,19.261,41460.989,1642.0,2021-08-09 03:15:00
30,1628479800000.0,19.264,19.386,19.262,19.361,49830.699,1800.0,2021-08-09 03:30:00
31,1628480700000.0,19.36,19.398,19.298,19.313,68810.037,1602.0,2021-08-09 03:45:00
32,1628481600000.0,19.312,19.391,19.08,19.136,155630.232,4380.0,2021-08-09 04:00:00
33,1628482500000.0,19.136,19.2,19.08,19.186,62408.432,2151.0,2021-08-09 04:15:00
34,1628483400000.0,19.185,19.331,19.172,19.317,91025.274,3019.0,2021-08-09 04:30:00
35,1628484300000.0,19.321,19.371,19.288,19.358,66644.08,2568.0,2021-08-09 04:45:00
36,1628485200000.0,19.354,19.485,19.336,19.467,71622.201,2952.0,2021-08-09 05:00:00
37,1628486100000.0,19.465,19.49,19.402,19.456,54531.327,2260.0,2021-08-09 05:15:00
38,1628487000000.0,19.455,19.485,19.331,19.336,47449.243,1801.0,2021-08-09 05:30:00
39,1628487900000.0,19.333,19.366,19.209,19.366,64395.272,2443.0,2021-08-09 05:45:00
40,1628488800000.0,19.366,19.461,19.164,19.197,76105.652,3250.0,2021-08-09 06:00:00
41,1628489700000.0,19.199,19.25,19.12,19.176,71454.745,2531.0,2021-08-09 06:15:00
42,1628490600000.0,19.176,19.388,19.168,19.248,52465.641,1807.0,2021-08-09 06:30:00
43,1628491500000.0,19.248,19.338,19.188,19.3,54495.548,1572.0,2021-08-09 06:45:00
44,1628492400000.0,19.298,19.404,19.298,19.36,48936.343,1785.0,2021-08-09 07:00:00
45,1628493300000.0,19.365,19.398,19.275,19.313,45369.672,1582.0,2021-08-09 07:15:00
46,1628494200000.0,19.316,19.538,19.253,19.508,76847.654,3335.0,2021-08-09 07:30:00
47,1628495100000.0,19.506,19.641,19.503,19.602,142479.893,5005.0,2021-08-09 07:45:00
48,1628496000000.0,19.597,19.654,19.484,19.532,182887.508,4305.0,2021-08-09 08:00:00
49,1628496900000.0,19.532,19.538,19.422,19.463,56904.833,1913.0,2021-08-09 08:15:00
50,1628497800000.0,19.463,19.615,19.463,19.6,68317.808,2286.0,2021-08-09 08:30:00
51,1628498700000.0,19.599,19.684,19.576,19.598,84142.498,3185.0,2021-08-09 08:45:00
52,1628499600000.0,19.6,19.933,19.572,19.932,140480.258,6273.0,2021-08-09 09:00:00
